year,event_id,event_start_date,event_name,dg_id,player_name,p_win_raw,p_win_share,close_odds,p_odds_share,sg_total_L40,sg_total_L24,sg_total_L12,days_since_last_round,finish_num,pred_rank
2026,6,2026-01-15,Sony Open in Hawaii,24968,"Griffin, Ben",0.12116747120153377,0.10524973859140657,14.0,0.04700263498557942,1.771675,2.0174999999999996,2.9126666666666665,66,19.0,1
2026,6,2026-01-15,Sony Open in Hawaii,17536,"Spaun, J.J.",0.06788234180908313,0.058964659900305576,20.0,0.0329018444899056,1.471125,1.5674583333333336,2.42925,38,40.0,2
2026,6,2026-01-15,Sony Open in Hawaii,23505,"McGreevy, Max",0.032352303472822475,0.02810219153357488,111.0,0.005928260268451458,0.781725,1.1460833333333331,1.8928333333333338,52,,3
2026,6,2026-01-15,Sony Open in Hawaii,23504,"Hoey, Rico",0.03135886627366293,0.02723926186704242,46.0,0.014305149778219825,1.1704999999999999,1.5436666666666667,1.4761666666666668,52,50.0,4
2026,6,2026-01-15,Sony Open in Hawaii,25908,"Whaley, Vince",0.03128912888880317,0.027178685860513984,91.0,0.007231174613166066,0.825075,1.2365416666666667,1.7764166666666668,52,40.0,5
2026,6,2026-01-15,Sony Open in Hawaii,14578,"Henley, Russell",0.030753569481148834,0.0267134827239227,12.0,0.05483640748317599,1.1943000000000001,1.6632916666666668,1.346416666666667,122,19.0,6
2026,6,2026-01-15,Sony Open in Hawaii,14609,"Kim, Si Woo",0.027748834014317998,0.024103478411013755,20.0,0.0329018444899056,0.8699,1.3629999999999998,1.4950833333333335,52,11.0,7
2026,6,2026-01-15,Sony Open in Hawaii,13562,"Matsuyama, Hideki",0.026213874044782037,0.022770165650254512,18.0,0.03655760498878399,1.0612249999999999,0.6559166666666668,1.7664166666666665,38,13.0,8
2026,6,2026-01-15,Sony Open in Hawaii,28635,"McCarty, Matt",0.025504280358095203,0.02215379106317015,66.0,0.009970255906031998,0.9488749999999999,1.0744583333333333,1.5450833333333334,80,55.0,9
2026,6,2026-01-15,Sony Open in Hawaii,28159,"Meissner, Mac",0.02513153878051121,0.02183001642948474,61.0,0.01078748999669036,1.007525,1.481958333333333,1.2666666666666668,52,40.0,10
2026,6,2026-01-15,Sony Open in Hawaii,12423,"Kirk, Chris",0.02384489168196667,0.020712395755896812,36.0,0.018278802494391996,0.8621749999999999,0.80625,1.6265000000000003,52,,11
2026,6,2026-01-15,Sony Open in Hawaii,22833,"Echavarria, Nico",0.023162470605818632,0.020119624122044818,51.0,0.01290268411368847,0.911675,0.9797083333333334,1.4761666666666666,52,,12
2026,6,2026-01-15,Sony Open in Hawaii,6430,"Scott, Adam",0.022618604431288346,0.01964720547593135,41.0,0.01604968023897834,0.8368499999999999,0.9092083333333333,1.5050000000000001,45,40.0,13
2026,6,2026-01-15,Sony Open in Hawaii,10104,"Power, Seamus",0.02237534021760213,0.0194358988055418,101.0,0.006515216730674376,0.421075,0.8200000000000002,1.693083333333333,52,31.0,14
2026,6,2026-01-15,Sony Open in Hawaii,17639,"Blair, Zac",0.020193783654663885,0.01754093264263725,161.0,0.00408718565091995,0.6411500000000001,0.6148333333333333,1.611,31,50.0,15
2026,6,2026-01-15,Sony Open in Hawaii,16283,"Rodgers, Patrick",0.019105227031707014,0.016595379361116717,111.0,0.005928260268451458,0.36507500000000015,0.4039166666666665,1.7410000000000003,52,3.0,16
2026,6,2026-01-15,Sony Open in Hawaii,24550,"Ghim, Doug",0.018733142695491384,0.016272175627207675,121.0,0.005438321403290181,0.764825,0.591,1.477833333333333,31,55.0,17
